Country,Region,Date,new_Cases,new_Deaths,Period,IsoCode
Colombia,Choco,2020-12-31,1253,20,2020_Q3,CO-CHO
Colombia,Choco,2021-04-30,3684,56,2021_Q1,CO-CHO
Colombia,Cordoba,2020-08-30,20390,1425,2020_Q2,CO-COR
Colombia,Cordoba,2020-12-31,9724,266,2020_Q3,CO-COR
Colombia,Cordoba,2021-04-30,24549,591,2021_Q1,CO-COR
Colombia,Cundinamarca,2020-08-30,23764,692,2020_Q2,CO-CUN
Colombia,Cundinamarca,2020-12-31,47209,1115,2020_Q3,CO-CUN
Colombia,Cundinamarca,2021-04-30,60350,1661,2021_Q1,CO-CUN
Colombia,Guajira,2020-08-30,5271,245,2020_Q2,CO-LAG
Colombia,Guajira,2020-12-31,9254,309,2020_Q3,CO-LAG
Colombia,Guajira,2021-04-30,17086,420,2021_Q1,CO-LAG
Colombia,Huila,2020-08-30,5301,153,2020_Q2,CO-HUI
Colombia,Huila,2020-12-31,30990,1027,2020_Q3,CO-HUI
Colombia,Huila,2021-04-30,17804,693,2021_Q1,CO-HUI
Colombia,Magdalena,2020-08-30,12560,733,2020_Q2,CO-MAG
Colombia,Magdalena,2020-12-31,12970,356,2020_Q3,CO-MAG
Colombia,Magdalena,2021-04-30,36846,1268,2021_Q1,CO-MAG
Colombia,Meta,2020-08-30,9184,228,2020_Q2,CO-MET
Colombia,Meta,2020-12-31,25851,525,2020_Q3,CO-MET
Colombia,Meta,2021-04-30,12388,330,2021_Q1,CO-MET
Colombia,Nariño,2020-08-30,14892,558,2020_Q2,CO-Other
Colombia,Nariño,2020-12-31,19206,466,2020_Q3,CO-Other
Colombia,Nariño,2021-04-30,20400,761,2021_Q1,CO-Other
Colombia,Norte Santander,2020-08-30,11981,710,2020_Q2,CO-NSA
Colombia,Norte Santander,2020-12-31,29855,1401,2020_Q3,CO-NSA
Colombia,Norte Santander,2021-04-30,13600,754,2021_Q1,CO-NSA
Colombia,Putumayo,2020-08-30,3062,148,2020_Q2,CO-PUT
Colombia,Putumayo,2020-12-31,2984,97,2020_Q3,CO-PUT
Colombia,Putumayo,2021-04-30,3951,110,2021_Q1,CO-PUT
Colombia,Quindio,2020-12-31,24515,672,2020_Q3,CO-QUI
Colombia,Quindio,2021-04-30,15613,522,2021_Q1,CO-QUI
Colombia,Risaralda,2020-08-30,6369,127,2020_Q2,CO-RIS
Colombia,Risaralda,2020-12-31,29110,643,2020_Q3,CO-RIS
Colombia,Risaralda,2021-04-30,22111,640,2021_Q1,CO-RIS
Colombia,San Andres,2021-04-30,3821,52,2021_Q1,CO-SAP
Colombia,Santander,2020-08-30,19006,859,2020_Q2,CO-SAN
Colombia,Santander,2020-12-31,51106,1602,2020_Q3,CO-SAN
Colombia,Santander,2021-04-30,37154,1272,2021_Q1,CO-SAN
Colombia,Sucre,2020-08-30,11631,545,2020_Q2,CO-SUC
Colombia,Sucre,2020-12-31,6197,144,2020_Q3,CO-SUC
Colombia,Sucre,2021-04-30,11094,315,2021_Q1,CO-SUC
Colombia,Tolima,2020-08-30,7359,199,2020_Q2,CO-TOL
Colombia,Tolima,2020-12-31,39549,1120,2020_Q3,CO-TOL
Colombia,Tolima,2021-04-30,23218,918,2021_Q1,CO-TOL
Colombia,Valle,2020-04-30,992,64,2020_Q1,CO-VAC
Colombia,Valle,2020-08-30,46658,1761,2020_Q2,CO-VAC
Colombia,Valle,2020-12-31,96147,2570,2020_Q3,CO-VAC
Colombia,Valle,2021-04-30,100539,3023,2021_Q1,CO-VAC
Colombia,Valle del Cauca,2020-08-30,37419,1296,2020_Q2,NA
Colombia,Valle del Cauca,2020-12-31,65309,1510,2020_Q3,NA
Colombia,Valle del Cauca,2021-04-30,71246,1742,2021_Q1,NA
Mexico,Aguascalientes,2020-08-30,6137,448,2020_Q2,MX-AGU
Mexico,Aguascalientes,2020-12-31,12101,1157,2020_Q3,MX-AGU
Mexico,Aguascalientes,2021-04-30,7976,812,2021_Q1,MX-AGU
Mexico,All,2020-04-30,39953,4694,2020_Q1,MX
Mexico,All,2020-08-30,644648,78612,2020_Q2,MX
Mexico,All,2020-12-31,875954,65440,2020_Q3,MX
Mexico,All,2021-04-30,813749,79806,2021_Q1,MX
