"","state","state_iso","date","dts","bsn","exposure","excess","pscore"
"142","Alagoas","AL",2020-11-08,400,374.982001943983,65854.5271429476,25.0179980560166,1.0667178635943
"143","Alagoas","AL",2020-11-15,405,376.805164522264,65859.2506145929,28.1948354777359,1.07482603247618
"144","Alagoas","AL",2020-11-22,414,375.815490739023,65863.9667280161,38.1845092609773,1.10160440482613
"145","Alagoas","AL",2020-11-29,410,370.561454795485,65868.6755833069,39.4385452045155,1.10642916227291
"146","Alagoas","AL",2020-12-06,415,360.932675363907,65873.3772805553,54.0673246360928,1.14979891909642
"147","Alagoas","AL",2020-12-13,400,349.458802293828,65878.0719198511,50.5411977061719,1.14462705582009
"148","Alagoas","AL",2020-12-20,426,338.772790898178,65882.7596012841,87.2272091018222,1.25747997314235
"149","Alagoas","AL",2020-12-27,446,331.209468074015,65887.4404249441,114.790531925985,1.34657986256701
"150","Alagoas","AL",2021-01-03,254,328.940673045154,65892.114490921,-74.9406730451536,0.77217571682032
"151","Alagoas","AL",2021-01-03,212,328.925695453879,65892.114490921,-116.925695453879,0.644522464891243
"152","Alagoas","AL",2021-01-10,456,328.934016638089,65896.7818993046,127.065983361911,1.3862962689618
"153","Alagoas","AL",2021-01-17,471,333.432900300268,65901.4427501848,137.567099699732,1.41257806166053
"154","Alagoas","AL",2021-01-24,449,343.208928505007,65906.0971436513,105.791071494993,1.30824102378633
"155","Alagoas","AL",2021-01-31,420,356.000078661599,65910.7451797941,63.9999213384012,1.17977502021632
"156","Alagoas","AL",2021-02-07,438,369.295421491393,65915.3869587029,68.7045785086071,1.18604232414024
"157","Alagoas","AL",2021-02-14,458,380.207771105061,65920.0225804676,77.792228894939,1.20460452101975
"158","Alagoas","AL",2021-02-21,493,385.954955625631,65924.6521451781,107.045044374369,1.27735113337475
"159","Alagoas","AL",2021-02-28,494,386.744812782736,65929.2757529241,107.255187217264,1.27732805631065
"160","Alagoas","AL",2021-03-07,510,384.320468078451,65933.8935037955,125.679531921549,1.32701753448087
"161","Alagoas","AL",2021-03-14,552,380.504389685108,65938.5054978822,171.495610314892,1.45070599699734
"162","Alagoas","AL",2021-03-21,550,377.084746971451,65943.1118352739,172.915253028549,1.45855806796036
"163","Alagoas","AL",2021-03-28,566,375.704260254054,65947.7126160605,190.295739745946,1.50650407748176
"164","Alagoas","AL",2021-04-04,605,376.68686025011,65952.3079403318,228.31313974989,1.60610858472286
"165","Alagoas","AL",2021-04-11,585,379.380331227077,65956.8979081778,205.619668772923,1.54198821564592
"166","Alagoas","AL",2021-04-18,553,383.117441509865,65961.4826196881,169.882558490135,1.44342162502607
"167","Alagoas","AL",2021-04-25,571,387.217157121755,65966.0621749527,183.782842878245,1.47462474091885
