"","dpto","date","isoweek","dts","bsn","exposure","excess","pscore"
"170","Antioquia",2021-07-25,"2021-W29-7",1040.02169934641,706.060654748176,130507.258585909,1.47299200479786,1.47299200479786
"171","Antioquia",2021-08-01,"2021-W30-7",987.825466989876,702.796294171448,130543.779891265,1.40556442198441,1.40556442198441
"172","Antioquia",2021-08-08,"2021-W31-7",853.600834269212,699.860926408707,130580.336630359,1.21967208349438,1.21967208349438
"173","Antioquia",2021-08-15,"2021-W32-7",797.77599161279,697.221271743114,130616.93244922,1.14422210558533,1.14422210558533
"174","Antioquia",2021-08-22,"2021-W33-7",801.93058331819,694.864849687705,130653.570993873,1.15408137809619,1.15408137809619
"175","Antioquia",2021-08-29,"2021-W34-7",751.584633160023,692.926712569173,130690.255910345,1.08465241637656,1.08465241637656
"176","Antioquia",2021-09-05,"2021-W35-7",719.056489167848,691.606773903606,130726.990844663,1.03968977213642,1.03968977213642
"177","Arauca",2020-01-05,"2020-W01-7",26.305638573421,25.832067568377,5539.63903324502,1.01833267909317,1.01833267909317
"178","Arauca",2020-01-12,"2020-W02-7",31.2676706827309,25.4893192448562,5544.86326643298,1.22669696990989,1.22669696990989
"179","Arauca",2020-01-19,"2020-W03-7",19.1873844257243,24.8783680557962,5550.03575629323,0.771247711372852,0.771247711372852
"180","Arauca",2020-01-26,"2020-W04-7",14.1064413938754,24.1875815420598,5555.15617789412,0.583210081146216,0.583210081146216
"181","Arauca",2020-02-02,"2020-W05-7",18.1409001956947,23.5891468098033,5560.22420630399,0.769035876624228,0.769035876624228
"182","Arauca",2020-02-09,"2020-W06-7",29.2218916046759,23.2393283289547,5565.23951659117,1.25743271023317,1.25743271023317
"183","Arauca",2020-02-16,"2020-W07-7",18.1854077253219,23.2632463248937,5570.20178382401,0.781722699890852,0.781722699890852
"184","Arauca",2020-02-23,"2020-W08-7",28.3313253012048,23.6000195169052,5575.11068307083,1.20047889286322,1.20047889286322
"185","Arauca",2020-03-01,"2020-W09-7",22.1707695719672,24.1078466316436,5579.96588939998,0.919649519541333,0.919649519541333
"186","Arauca",2020-03-08,"2020-W10-7",24.1968521392153,24.6382253823291,5584.7670778798,0.982085834662815,0.982085834662815
"187","Arauca",2020-03-15,"2020-W11-7",23.160621761658,25.0303143783356,5589.51392357862,0.925302871213801,0.925302871213801
"188","Arauca",2020-03-22,"2020-W12-7",28.2251004912908,25.125232738251,5594.20610156478,1.12337667815194,1.12337667815194
"189","Arauca",2020-03-29,"2020-W13-7",21.1606025492468,24.923937941125,5598.84328690662,0.84900719136888,0.84900719136888
"190","Arauca",2020-04-05,"2020-W14-7",23.1378566291057,24.5547982769226,5603.42515467247,0.942294714383846,0.942294714383846
"191","Arauca",2020-04-12,"2020-W15-7",17.0840791333019,24.1475429681441,5607.95137993068,0.707487265095236,0.707487265095236
"192","Arauca",2020-04-19,"2020-W16-7",12.0470046082949,23.8248468487117,5612.42163774958,0.505648774357027,0.505648774357027
"193","Arauca",2020-04-26,"2020-W17-7",16.0889918887601,23.7011656458712,5616.8356031975,0.678827030246207,0.678827030246207
"194","Arauca",2020-05-03,"2020-W18-7",18.1059571462209,23.8026130544579,5621.1929513428,0.760670986197874,0.760670986197874
"195","Arauca",2020-05-10,"2020-W19-7",20.1667417755746,24.0442833738643,5625.4933572538,0.838733326421175,0.838733326421175
"196","Arauca",2020-05-17,"2020-W20-7",16.1053324555629,24.3336255132196,5629.73649599884,0.661855030472685,0.661855030472685
"197","Arauca",2020-05-24,"2020-W21-7",19.1217948717949,24.5745228960136,5633.92204264627,0.778114592609109,0.778114592609109
"198","Arauca",2020-05-31,"2020-W22-7",23.1266144399746,24.6675518530622,5638.04967226441,0.93753180606383,0.93753180606383
"199","Arauca",2020-06-07,"2020-W23-7",22.158736349454,24.5601438445713,5642.1190599216,0.90222339452429,0.90222339452429
"200","Arauca",2020-06-14,"2020-W24-7",25.112591480578,24.307175966246,5646.12988068619,1.03313488639941,1.03313488639941
"201","Arauca",2020-06-21,"2020-W25-7",19.0592105263158,23.9783772395091,5650.08180962651,0.794849890630295,0.794849890630295
"202","Arauca",2020-06-28,"2020-W26-7",20.0817661488144,23.641209866233,5653.9745218109,0.849439020356459,0.849439020356459
"203","Arauca",2020-07-05,"2020-W27-7",15.0747468252692,23.3596954421611,5657.80769230769,0.645331479710193,0.645331479710193
